ID,Treatment,Block,Plot,Quadrat,X,Y,Shrub,Compass,Distance,Year,Age,Size,Fert
C.II.5.9.68.85,C,II,5,9,68,85,NA,NA,NA,1997,NA,NA,NA
C.II.5.9.74.3,C,II,5,9,74,3,NA,NA,NA,1997,999,10,5
C.II.5.9.82.4,C,II,5,9,82,4,NA,NA,NA,1997,NA,NA,NA
C.II.5.9.83.73,C,II,5,9,83,73,NA,NA,NA,1997,NA,NA,NA
C.II.5.9.84.71,C,II,5,9,84,71,NA,NA,NA,1997,1,1,0
C.II.5.9.84.95,C,II,5,9,84,95,NA,NA,NA,1997,NA,NA,NA
C.II.5.9.85.97,C,II,5,9,85,97,NA,NA,NA,1997,NA,NA,NA
C.II.5.9.90.3,C,II,5,9,90,3,NA,NA,NA,1997,NA,NA,NA
C.II.5.9.90.73,C,II,5,9,90,73,NA,NA,NA,1997,999,8,4
C.II.5.9.95.4,C,II,5,9,95,4,NA,NA,NA,1997,999,7,3
C.II.5.10.34.56,C,II,5,10,34,56,NA,NA,NA,1997,1,5,0
C.II.5.10.75.28,C,II,5,10,75,28,NA,NA,NA,1997,NA,NA,NA
C.II.5.10.80.5,C,II,5,10,80,5,NA,NA,NA,1997,NA,NA,NA
C.II.5.10.86.50,C,II,5,10,86,50,NA,NA,NA,1997,NA,NA,NA
C.II.5.10.97.40,C,II,5,10,97,40,Cn,250,2,1997,999,10,0
C.II.5.11.0.34,C,II,5,11,0,34,NA,NA,NA,1997,999,15,0
C.II.5.11.6.18,C,II,5,11,6,18,NA,NA,NA,1997,1,1,0
C.II.5.11.7.22,C,II,5,11,7,22,NA,NA,NA,1997,999,8,0
C.II.5.11.9.4,C,II,5,11,9,4,NA,NA,NA,1997,1,4,0
C.II.5.11.10.59,C,II,5,11,10,59,NA,NA,NA,1997,NA,NA,NA
C.II.5.11.22.38,C,II,5,11,22,38,NA,NA,NA,1997,1,1,0
C.II.5.11.47.2,C,II,5,11,47,2,NA,NA,NA,1997,1,5,0
C.II.5.11.91.33,C,II,5,11,91,33,NA,NA,NA,1997,NA,NA,NA
C.II.5.12.6.60,C,II,5,12,6,60,NA,NA,NA,1997,999,36,10
C.II.5.12.10.34,C,II,5,12,10,34,NA,NA,NA,1997,999,5,2
